date,day_of_week,month,rating,keywords
2023-07-25,Tuesday,July,1,
2023-07-26,Wednesday,July,4,
2023-07-27,Thursday,July,2,
2023-07-28,Friday,July,3,
2023-07-29,Saturday,July,4,
2023-07-30,Sunday,July,1,
2023-07-31,Monday,July,4,"roommates, social, productive"
2023-08-01,Tuesday,August,3,"insight, coach, networking, social, roommates, work, solve"
2023-08-02,Wednesday,August,-2,"work, late night, stuck"
2023-08-03,Thursday,August,2,"adjustment, solve, uncertanity"
2023-08-04,Friday,August,1,"insight, planning"
2023-08-05,Saturday,August,-1,"exercise, uncertanity, stress"
2023-08-06,Sunday,August,2,"spiritual, conversation, friends"
2023-08-07,Monday,August,5,"vacation, nature, adventure, exercise, started, comfort zone"
2023-08-08,Tuesday,August,3,"vacation, nature, exercise, learning, adventure, "
2023-08-09,Wednesday,August,4,"coach, started, insight, exercise, roommates, comfort zone"
2023-08-10,Thursday,August,3,"exercise, reflection, roommates"
2023-08-11,Friday,August,3,"conversation, roommates, coworkers"
2023-08-12,Saturday,August,4,"vacation, spiritual, nature, social, friends"
2023-08-13,Sunday,August,1,"social, jorunal, uncertanity"
2023-08-14,Monday,August,2,"bored, social, exercise, games"
2023-08-15,Tuesday,August,3,"insight, coach, reflection"
2023-08-16,Wednesday,August,1,"solve, organize, insight"
2023-08-17,Thursday,August,3,"family, exercise, roommates"
2023-08-18,Friday,August,-2,"social, adjustment, uncertanity, work"
2023-08-19,Saturday,August,2,"friends, games, started, family, relax"
2023-08-20,Sunday,August,4,"spiritual, comfort zone, challenge, roommates, conversation"
2023-08-21,Monday,August,3,"work, roommates, conversation, nature, social"
2023-08-22,Tuesday,August,5,"coworkers, coach, exercise, presentation, teaching, conversation, roommates"
2023-08-23,Wednesday,August,2,"roommates, exercose, uncertanity, funny, self-care"
2023-08-24,Thursday,August,2,"coworkers, funny, friends, work"
2023-08-25,Friday,August,2,"coworkers, games, nature"
2023-08-26,Saturday,August,2,"journal, exercise, accomplishment, journal"
2023-08-27,Sunday,August,4,"spiritual, family, friends, planning, roommates"
2023-08-28,Monday,August,1,"work, uncertanity, solve, exercise, bored"
2023-08-29,Tuesday,August,3,"insight, work, solve, exercise, hobby, roommates"
2023-08-30,Wednesday,August,2,"work, exercise, learning"
2023-08-31,Thursday,August,3,"work, presentation, hobby"
2023-09-01,Friday,September,0,"work, games, loneliness, conversation"
2023-09-02,Saturday,September,3,"started, exercise, family, relax"
2023-09-03,Sunday,September,2,"games, social, funny, friends"
2023-09-04,Monday,September,1,"shopping, nature, lazy"
2023-09-05,Tuesday,September,3,"work, exercise, coworkers, accomplishment, coach"
2023-09-06,Wednesday,September,2,"work, productive, exercise, accomplishment, roommate"
2023-09-07,Thursday,September,2,"work, coworkers"
2023-09-08,Friday,September,3,"exercise, roommates, conversation, friends"
2023-09-09,Saturday,September,1,"shopping, lazy"
2023-09-10,Sunday,September,3,"spiritual, family"
2023-09-11,Monday,September,3,"work, roommates, exercise"
2023-09-12,Tuesday,September,3,"work, coworkers, roommates"
2023-09-13,Wednesday,September,4,"work, coworkers, funny, networking, insight"
2023-09-14,Thursday,September,4,"work, exercise, roommates"
2023-09-15,Friday,September,4,"comfort zone, started, spiritual, friends, social, reflection, insight, vacation"
2023-09-16,Saturday,September,3,"spiritual, insight, social, vacation, friends"
2023-09-17,Sunday,September,3,"journal, games, lazy"
2023-09-18,Monday,September,4,"roommates, planning, organize"
2023-09-19,Tuesday,September,3,"coach, insight, productive"
2023-09-20,Wednesday,September,3,"work, health, roommates"
2023-09-21,Thursday,September,-3,sick
2023-09-22,Friday,September,-1,"sick, friends"
2023-09-23,Saturday,September,5,"friends, video games, roommates, learning"
2023-09-24,Sunday,September,2,"spiritual, social, video games"
2023-09-25,Monday,September,4,"roommates, insight, work, video games"
2023-09-26,Tuesday,September,3,"presentation, coach, insight, coworkers"
2023-09-27,Wednesday,September,3,"nature, coworkers, networking, exercise"
2023-09-28,Thursday,September,2,"learning, self-care"
2023-09-29,Friday,September,3,"coworkers, social, conversation"
2023-09-30,Saturday,September,4,"spiritual, friends, video games, started"
2023-10-01,Sunday,October,-2,"spiritual, stress, family, reflection"
2023-10-02,Monday,October,1,"work, late night"
2023-10-03,Tuesday,October,2,"work, stuck, roommates"
2023-10-04,Wednesday,October,3,"work, accomplishment, solve, learning"
2023-10-05,Thursday,October,4,"solve, exercise, video games, roommates"
2023-10-06,Friday,October,3,"work, roommates, video games"
2023-10-07,Saturday,October,1,"roommates, exercise, planning"
2023-10-08,Sunday,October,5,"spiritual, friends, family, roommates, conversation, nature"
2023-10-09,Monday,October,4,"work, solve, roommates, conversation"
2023-10-10,Tuesday,October,2,"uncertanity, work, insight"
2023-10-11,Wednesday,October,2,"accomplishment, planning"
2023-10-12,Thursday,October,1,"work, uncertanity, stress"
2023-10-13,Friday,October,3,"vacation, adventure"
2023-10-14,Saturday,October,5,"vacation, friends, nature, social, hobby"
2023-10-15,Sunday,October,2,"spiritual, stress, productive"
2023-10-16,Monday,October,3,"roommates, productive"
2023-10-17,Tuesday,October,2,"started, coach, insight, reflection"
2023-10-18,Wednesday,October,1,"work, stuck, exercise"
2023-10-19,Thursday,October,2,"friends, challenge, comfort zone"
2023-10-20,Friday,October,4,"vacation, nature, relax, exercise, friends"
2023-10-21,Saturday,October,5,"vacation, nature, relax, exercise, friends"
2023-10-22,Sunday,October,4,"spiritual, video games, social"
2023-10-23,Monday,October,3,"spiritual, insight, roommates"
2023-10-24,Tuesday,October,4,"work travel, insight, presentation, networking, coworkers"
2023-10-25,Wednesday,October,5,"learning, work travel, coworkers, social, networking"
2023-10-26,Thursday,October,3,"work travel, social, networking, vacation"
2023-10-27,Friday,October,3,"work travel, lazy, exercise"
2023-10-28,Saturday,October,3,"roommates, family, challenge, comfort zone, reflection"
2023-10-29,Sunday,October,2,"family, emotional, reflection, spiritual, insight, challenge"
2023-10-30,Monday,October,3,"roommates, social"
2023-10-31,Tuesday,October,4,"presentation, coworkers, insight, social"
2023-11-01,Wednesday,November,1,"productive, self-care"
2023-11-02,Thursday,November,4,"recognition, work, exercise, productive, insight, roommates"
2023-11-03,Friday,November,2,"work, teaching"
2023-11-04,Saturday,November,1,"started, insight, self-care, social"
2023-11-05,Sunday,November,0,"spiritual, stress, reflection"
2023-11-06,Monday,November,4,"work, productive, recognition, coworkers, solve"
2023-11-07,Tuesday,November,3,"work, solve, accomplishment, organize"
2023-11-08,Wednesday,November,2,reflection
2023-11-09,Thursday,November,2,"insight, solve, roommates, shopping"
2023-11-10,Friday,November,4,"accomplishment, productive, roommates, social, friends, challenge, comfort zone"
2023-11-11,Saturday,November,4,"vacation, spiritual, friends, family"
2023-11-12,Sunday,November,1,"relax, family"
2023-11-13,Monday,November,2,"spiritual, reflection"
2023-11-14,Tuesday,November,4,"solve, work, insight, coach"
2023-11-15,Wednesday,November,-1,"work, stress, social, service"
2023-11-16,Thursday,November,3,"recognition, work, solve, accomplishment, health"
2023-11-17,Friday,November,4,"work, adventure, roommates, friends, social"
2023-11-18,Saturday,November,2,"social, lazy, roommates, spiritual"
2023-11-19,Sunday,November,2,"spiritual, reflection, conversation"
2023-11-20,Monday,November,3,"work, recognition, coworkers, reflection"
2023-11-21,Tuesday,November,4,"roommates, exercise"
2023-11-22,Wednesday,November,1,"lazy, family"
2023-11-23,Thursday,November,2,"family, shopping, movie"
2023-11-24,Friday,November,3,"family, games, video games, shopping"
2023-11-25,Saturday,November,2,family
2023-11-26,Sunday,November,4,"family, accomplishment, challenge, roommates, comfort zone"
2023-11-27,Monday,November,3,"insight, health, video games"
2023-11-28,Tuesday,November,3,"insight, challenge, reflection, coach"
2023-11-29,Wednesday,November,4,"roommates, conversation"
2023-11-30,Thursday,November,4,"roommates, exercise, conversation"
2023-12-01,Friday,December,1,"productive, work, coworkers, uncertanity"
2023-12-02,Saturday,December,2,"roommates, exercise, video games"
2023-12-03,Sunday,December,3,"roommates, nature, hobby"
2023-12-04,Monday,December,4,"productive, roommates, work, coworkers"
2023-12-05,Tuesday,December,3,"work travel, networking, social, coworkers"
2023-12-06,Wednesday,December,3,"work travel, productive, networking, social, coworkers"
2023-12-07,Thursday,December,4,"work travel, productive, networking, accomplishment, social, coworkers, health"
2023-12-08,Friday,December,2,"work travel, family, shopping, coworkers"
2023-12-09,Saturday,December,3,"family, roommates, work"
2023-12-10,Sunday,December,1,sick
2023-12-11,Monday,December,1,"sick, productive, roommates"
2023-12-12,Tuesday,December,-3,sick
2023-12-13,Wednesday,December,-2,sick
2023-12-14,Thursday,December,5,"accomplishment, work, recognition, reflection"
2023-12-15,Friday,December,1,"lazy, hobby"
2023-12-16,Saturday,December,2,"service, video games"
2023-12-17,Sunday,December,2,"roommates, social"
2023-12-18,Monday,December,2,"roommates, work, solve"
2023-12-19,Tuesday,December,3,"roommates, coworkers, exercise, conversation"
2023-12-20,Wednesday,December,4,"reflection, comfort zone, started, funny, spiritual"
2023-12-21,Thursday,December,5,"productive, coworkers, coach, insight, reflection, spiritual, exercise"
2023-12-22,Friday,December,1,"work, relax, organize"
2023-12-23,Saturday,December,2,"started, roommates, video games, organize"
2023-12-24,Sunday,December,3,"family, movie"
2023-12-25,Monday,December,3,"family, movie"
2023-12-26,Tuesday,December,4,"family, friends, nature"
2023-12-27,Wednesday,December,2,"family, health"
2023-12-28,Thursday,December,1,"organize, social"
2023-12-29,Friday,December,2,"roommates, reflection, insight, organize"
2023-12-30,Saturday,December,5,"roommates, spiritual, friends, insight, hobby, conversation"
2023-12-31,Sunday,December,4,"spiritual, roommates, games, social, presentation, hobby, reflection, conversation"
2024-01-01,Monday,January,4,"exercise, roommates, social, accomplishment, insight, reflection, games, friends, self-care"
2024-01-02,Tuesday,January,5,"work, coach, insight, friends, movie, reflection"
2024-01-03,Wednesday,January,4,"work, roommates, exercise, social, conversation, insight"
2024-01-04,Thursday,January,2,"work, solve, social, friends, reflection, hobby"
2024-01-05,Friday,January,4,"vacation/travel, family, social, conversation, accomplishment"
2024-01-06,Saturday,January,2,"exercise, shopping, service, social, reflection"
2024-01-07,Sunday,January,-2,"stress, roommates, games, planning, sick"
2024-01-08,Monday,January,1,"work, roommates, relax, sick, headache"
2024-01-09,Tuesday,January,4,"work, solve, video games, games"
2024-01-10,Wednesday,January,3,"work, accomplishment, reflection, networking, friends"
2024-01-11,Thursday,January,4,"work, accomplishment, insight, productive, recognition"
2024-01-12,Friday,January,3,"work, coworkers, networking, reflection, games, social"
2024-01-13,Saturday,January,5,"exercise, friends, shopping, conversation, insight, self-care, accomplishment, games"
2024-01-14,Sunday,January,3,"spiritual, roommates, conversation, social, movie, reflection"
2024-01-15,Monday,January,3,"day off work, relax, planning, insight, conversation, spiritual"
2024-01-16,Tuesday,January,4,"work, coworkers, productive, networking, reflection"
2024-01-17,Wednesday,January,2,"sick, vacation/travel, nature, challenge"
2024-01-18,Thursday,January,3,"work, accomplishment, coworker, conversation, insight, reflection, self-care"
2024-01-19,Friday,January,1,"work, coworkers, insight, roommates, exercise, relaxation"
2024-01-20,Saturday,January,4,"exercise, roommates, games, social, reflection, relaxation"
2024-01-21,Sunday,January,0,"spiritual, roommates, planning, networking, uncertainty"
2024-01-22,Monday,January,4,"work, friends, social, exercise, spiritual, conversation, insight"
2024-01-23,Tuesday,January,4,"work, coworkers, coach, insight, learning, conversation, networking"
2024-01-24,Wednesday,January,1,"work, coworkers, insight, reflection, journal, stress"
2024-01-25,Thursday,January,1,"work, exercise, insight, planning, friends, vacation/travel, accomplishment"
2024-01-26,Friday,January,4,"work, accomplishment, exercise, friends, roommates, social, networking"
2024-01-27,Saturday,January,3,"lazy, exercise, shopping, vacation/travel, organize, games, social, movie, roommates"
2024-01-28,Sunday,January,4,"spiritual, roommates, conversation, reflection, insight, friends, video games, planning"
2024-01-29,Monday,January,2,"work, coworkers, challenge, social, accomplishment, networking, uncertainty, adventure"
2024-01-30,Tuesday,January,4,"work, solve, accomplishment, planning, vacation/travel"
2024-01-31,Wednesday,January,1,"work, shopping, friends, games, social, reflection"
2024-02-01,Thursday,February,3,"work, exercise, roommates, accomplishment, social, conversation"
2024-02-02,Friday,February,4,"work, coworkers, friends, roommates, social, games, conversation, funny"
2024-02-03,Saturday,February,3,"lazy, exercise, family, conversation, insight, spiritual"
2024-02-04,Sunday,February,2,"stress, planning, friends, service, insight, reflection"
2024-02-05,Monday,February,3,"work, productive, accomplishment, service, planning"
2024-02-06,Tuesday,February,4,"work, solve, networking, accomplishment, friends"
2024-02-07,Wednesday,February,3,"work, learning, exercise, friends, social, adventure, conversation"
2024-02-08,Thursday,February,5,"work, accomplishment, networking, vacation/travel, challenge, insight, friends, conversation, reflection"
2024-02-09,Friday,February,1,"presentation, health, friends, exercise, conversation, accomplishment"
2024-02-10,Saturday,February,3,"relax, organize, nature, movie, friends, reflection"
2024-02-11,Sunday,February,3,"insight, social, friends, games, conversation, reflection"
2024-02-12,Monday,February,4,"work, health, exercise, friends, social, hobby"
2024-02-13,Tuesday,February,4,"work, coworkers, accomplishment, insight, planning, vacation/travel, tired"
2024-02-14,Wednesday,February,3,"work, friends, social, networking, conversation"
2024-02-15,Thursday,February,1,"productive, stuck, exercise, video games"
2024-02-16,Friday,February,3,"health, work, accomplishment, social, friends, movie, conversation"
2024-02-17,Saturday,February,3,"lazy, exercise, friends, games, social, hobby"
2024-02-18,Sunday,February,2,"spiritual, friends, roommates, vacation/travel, stuck, games, social"
2024-02-19,Monday,February,2,"nature, social, networking, coach, insight, reflection"
2024-02-20,Tuesday,February,5,"exercise, friends, accomplishment, work, social, reflection"
2024-02-21,Wednesday,February,3,"work, accomplishment, exercise, friends, reflection"
2024-02-22,Thursday,February,5,"work, insight, friends, health, exercise, accomplishment, self-care, reflection, social"
2024-02-23,Friday,February,3,"work, accomplishment, coworkers, exercise, friends, social, productive"
2024-02-24,Saturday,February,1,"relax, shopping, accomplishment, insight, roommates, reflection, friends, spiritual"
2024-02-25,Sunday,February,1,"spiritual, reflection, nature, social, relax, anxiety"
2024-02-26,Monday,February,2,"work, insight, exercise, accomplishment, friends"
2024-02-27,Tuesday,February,1,"work, exercise, coworkers, reflection, adjustment"
2024-02-28,Wednesday,February,4,"work, exercise, friends, conversation, social, reflection"
2024-02-29,Thursday,February,2,"work, health, exercise, friends, hobby, shopping, funny"
2024-03-01,Friday,March,2,"work, roommates, relax, dinner, late night, reflection"
2024-03-02,Saturday,March,3,"work, learning, exercise, health, hobby, boredom, reflection, social"
2024-03-03,Sunday,March,2,"nature, family, social, conversation, reflection, planning"
2024-03-04,Monday,March,4,"work, friends, social, conversation, insight, roommates, reflection"
2024-03-05,Tuesday,March,3,"work, coworkers, vacation/travel, social, accomplishment"
2024-03-06,Wednesday,March,3,"work, accomplishment, coworkers, social"
2024-03-07,Thursday,March,4,"work, accomplishment, coworkers, social, networking"
2024-03-08,Friday,March,5,"vacation/travel, adventure, exercise, learning, nature, reflection, accomplishment"
2024-03-09,Saturday,March,4,"work travel, exercise, friends, games, accomplishment, social"
2024-03-10,Sunday,March,-2,"sick, reflection, friends, learning"
2024-03-11,Monday,March,1,"health, work, service, nature, roommates, late night, relax"
2024-03-12,Tuesday,March,2,"work, teaching, funny, conversation, sports, sick"
2024-03-13,Wednesday,March,0,"sick, work, conversation, health, stress"
2024-03-14,Thursday,March,3,"day off work, friends, insight, reflection, conversation, roommates, health"
2024-03-15,Friday,March,4,"sick, exercise, friends, conversation, movie, accomplishment"
2024-03-16,Saturday,March,3,"self-care, friends, spiritual, conversation, social, networking, roommates"
2024-03-17,Sunday,March,3,"spiritual, roommates, friends, social, games, reflection, adjustment"
2024-03-18,Monday,March,1,"work, stress, exercise, health, service, reflection"
2024-03-19,Tuesday,March,3,"work, insight, coworkers, exercise, accomplishment, reflection, health"
2024-03-20,Wednesday,March,3,"work, productive, exercise, friends, planning, accomplishment, challenge, conversation"
2024-03-21,Thursday,March,3,"friends, networking, work, stress, exercise, social, reflection"
2024-03-22,Friday,March,2,"work, coworkers, insight, coach, learning, relax"
2024-03-23,Saturday,March,4,"insight, roommates, exercise, accomplishment, reflection, health, games, social, networking"
2024-03-24,Sunday,March,2,"friends, social, reflection, nature, spiritual"
2024-03-25,Monday,March,0,"work, stress, exercise, accomplishment, health"
2024-03-26,Tuesday,March,3,"work, accomplishment, presentation, exercise, coworkers, social, games"
2024-03-27,Wednesday,March,2,"work, accomplishment, friends, vacation/travel, social, video games, reflection"
2024-03-28,Thursday,March,1,"work, stress, coworkers, dinner, friends, coaching, roommates, social, accomplishment"
2024-03-29,Friday,March,3,"exercise, friends, learning, vacation/travel, reflection, social, accomplishment"
2024-03-30,Saturday,March,2,"friends, exercise, stress, reflection, conversation, vacation/travel, movie"
2024-03-31,Sunday,March,2,"planning, spiritual, family, relax, stress"
2024-04-01,Monday,April,2,"work, nature, insight, spiritual, relax"
2024-04-02,Tuesday,April,3,"work, friends, exercise, nature, social, reflection"
2024-04-03,Wednesday,April,2,"work, learning, productive, nature, social"
2024-04-04,Thursday,April,1,"work, accomplishment, friends, games, social"
2024-04-05,Friday,April,3,"work, presentation, vacation/travel, coworkers, relax, accomplishment"
2024-04-06,Saturday,April,2,"nature, family, friends, social, reflection, vacation/travel, stress"
2024-04-07,Sunday,April,3,"vacation/travel, family, nostalgia, stress"
2024-04-08,Monday,April,5,"vacation/travel, nature, social, adventure, reflection"
2024-04-09,Tuesday,April,3,"relax, reflection, vacation/travel, planning, nature"
2024-04-10,Wednesday,April,4,"vacation/travel, adventure, nature, social, learning"
2024-04-11,Thursday,April,4,"vacation/travel, nature, adventure"
2024-04-12,Friday,April,5,"relax, nature, massage, health, vacation/travel, social"
2024-04-13,Saturday,April,3,"exercise, vacation/travel, nature, spiritual, reflection, friends, conversation, uncertainty"
2024-04-14,Sunday,April,2,"spiritual, conversation, reflection, stress, adjustment"
2024-04-15,Monday,April,2,"work, exercise, accomplishment, friends, shopping, productive"
2024-04-16,Tuesday,April,2,"work, vacation/travel, productive, coworkers, presentation, exercise, insight"
2024-04-17,Wednesday,April,0,"headache, work, relax, exercise, friends, roommates, games, anxiety"
2024-04-18,Thursday,April,3,"work, insight, social, friends, conversation"
2024-04-19,Friday,April,1,"work, coworkers, learning, exercise, relax, reflection"
2024-04-20,Saturday,April,4,"vacation/travel, friends, social, hobby, nature, games, conversation"
2024-04-21,Sunday,April,3,"spiritual, family, journal, late night, roommates, conversation"
2024-04-22,Monday,April,3,"work, exercise, accomplishment, family, social, friends"
2024-04-23,Tuesday,April,0,"work, errands, coach, insight, reflection, emotional, friends, exercise, social"
2024-04-24,Wednesday,April,1,"exercise, friends, social, networking"
2024-04-25,Thursday,April,2,"work, coworkers, accomplishment, exercise, friends"
2024-04-26,Friday,April,3,"work, coworkers, presentation, insight, health, social, relaxation"
2024-04-27,Saturday,April,2,"nature, friends, spiritual, relaxation, learning"
2024-04-28,Sunday,April,2,"spiritual, friends, planning, roommates, relax, movie"
2024-04-29,Monday,April,3,"work, exercise, productive, friends, social, networking, insight, stress, challenge"
2024-04-30,Tuesday,April,2,"work, health, exercise, vacation/travel, accomplishment, reflection"
2024-05-01,Wednesday,May,5,"work, exercise, friends, social, conversation, insight"
2024-05-02,Thursday,May,0,"work, productive, headache, relax"
2024-05-03,Friday,May,1,"work, headache, exercise, health, spiritual, reflection"
2024-05-04,Saturday,May,4,"service, friends, nature, social, conversation, reflection"
2024-05-05,Sunday,May,2,"spiritual, roommates, relax, reflection, conversation"
2024-05-06,Monday,May,0,"work, reflection, health, stress, self-care"
2024-05-07,Tuesday,May,2,"work, coworkers, insight, challenge, productive"
2024-05-08,Wednesday,May,3,"work, exercise, friends, reflection, social, relationship, insight"
2024-05-09,Thursday,May,4,"work, accomplishment, coworkers, networking, social, insight"
2024-05-10,Friday,May,5,"work, coworkers, social, adventure, friends, nature, reflection"
2024-05-11,Saturday,May,2,"roommates, exercise, friends, nature, reflection, adventure"
2024-05-12,Sunday,May,3,"spiritual, family, vacation/travel, reflection, nature"
2024-05-13,Monday,May,-2,"work, spiritual, friends, anxiety, reflection"
2024-05-14,Tuesday,May,2,"work, solve, accomplishment, coworkers, exercise, relax"
2024-05-15,Wednesday,May,1,"work, roommates, friends, accomplishment, social, reflection"
2024-05-16,Thursday,May,0,"work, sick, day off work, health, nature"
2024-05-17,Friday,May,2,"family, accomplishment, relax, reflection"
2024-05-18,Saturday,May,3,"exercise, family, spiritual, friends, conversation, social"
2024-05-19,Sunday,May,3,"spiritual, journal, social, friends, games, reflection, conversation, insight"
2024-05-20,Monday,May,1,"work, insight, spiritual, service, adjustment, relax"
2024-05-21,Tuesday,May,3,"work, coworkers, productive, accomplishment, social, health, insight, adjustment"
2024-05-22,Wednesday,May,1,"learning, exercise, health, insight, relax"
